Timestamp,Truck ID,Latitude,Longitude,Speed (km/h),Unscheduled Stop Detected,Alert Message,Resolved,Radiation Level (µSv/h),Latitude & Longitude
6/24/2025 10:05:00,TRUCK-01,43.6532,-79.3832,65,FALSE,,FALSE,0.25,"43.6532, -79.3832"
6/24/2025 10:10:00,TRUCK-01,43.6601,-79.3898,0,TRUE,Unscheduled stop detected,TRUE,0.25,"43.6601, -79.3898"
6/24/2025 10:15:00,TRUCK-02,43.7001,-79.4163,60,FALSE,,FALSE,0.22,"43.7001, -79.4163"
6/24/2025 10:20:00,TRUCK-01,43.6633,-79.3902,40,FALSE,,FALSE,0.27,"43.6633, -79.3902"
6/24/2025 10:25:00,TRUCK-02,43.7102,-79.4211,50,FALSE,,FALSE,0.3,"43.7102, -79.4211"
6/24/2025 10:30:00,TRUCK-01,43.6705,-79.3951,55,FALSE,,FALSE,0.28,"43.6705, -79.3951"
6/24/2025 10:35:00,TRUCK-02,43.719,-79.427,60,FALSE,,FALSE,0.29,"43.7190, -79.4270"
6/24/2025 10:40:00,TRUCK-01,43.6752,-79.3988,50,FALSE,,FALSE,0.32,"43.6752, -79.3988"
6/24/2025 10:45:00,TRUCK-02,43.7253,-79.4322,62,FALSE,,FALSE,0.23,"43.7253, -79.4322"
6/24/2025 10:50:00,TRUCK-01,43.6805,-79.401,50,FALSE,,FALSE,0.26,"43.6805, -79.4010"
6/24/2025 10:55:00,TRUCK-02,43.7301,-79.4367,55,FALSE,,FALSE,0.24,"43.7301, -79.4367"
6/24/2025 11:00:00,TRUCK-01,43.6857,-79.4032,0,FALSE,,FALSE,0.35,"43.6857, -79.4032"
6/24/2025 11:05:00,TRUCK-02,43.735,-79.4412,65,FALSE,,FALSE,0.21,"43.7350, -79.4412"
6/24/2025 11:10:00,TRUCK-01,43.69,-79.4051,30,FALSE,,FALSE,0.28,"43.6900, -79.4051"
6/24/2025 11:15:00,TRUCK-02,43.7402,-79.4455,50,FALSE,,FALSE,0.36,"43.7402, -79.4455"
6/24/2025 11:20:00,TRUCK-01,43.6953,-79.408,55,FALSE,,FALSE,0.29,"43.6953, -79.4080"
6/24/2025 11:25:00,TRUCK-02,43.745,-79.45,60,FALSE,,FALSE,0.22,"43.7450, -79.4500"
6/24/2025 11:30:00,TRUCK-01,43.7001,-79.4105,60,FALSE,,FALSE,0.45,"43.7001, -79.4105"
6/24/2025 11:35:00,TRUCK-02,43.7505,-79.455,65,FALSE,,FALSE,0.23,"43.7505, -79.4550"
6/24/2025 13:15:00,TRUCK-02,43.7999,-79.491,30,FALSE,,FALSE,0.41,"43.7999, -79.4910"
6/24/2025 13:20:00,TRUCK-01,43.755,-79.438,55,FALSE,,FALSE,0.28,"43.7550, -79.4380"
6/24/2025 13:25:00,TRUCK-02,43.805,-79.4945,60,FALSE,,FALSE,0.22,"43.8050, -79.4945"
6/24/2025 13:30:00,TRUCK-01,43.7601,-79.4405,0,TRUE,High radiation detected,TRUE,0.52,"43.7601, -79.4405"
6/24/2025 13:35:00,TRUCK-02,43.8101,-79.498,65,FALSE,,FALSE,0.23,"43.8101, -79.4980"
6/24/2025 13:40:00,TRUCK-01,43.765,-79.443,40,FALSE,,FALSE,0.29,"43.7650, -79.4430"
6/24/2025 13:45:00,TRUCK-02,43.815,-79.5015,40,FALSE,,FALSE,0.4,"43.8150, -79.5015"
6/24/2025 13:50:00,TRUCK-01,43.7701,-79.4455,50,FALSE,,FALSE,0.27,"43.7701, -79.4455"
6/24/2025 13:55:00,TRUCK-02,43.8201,-79.505,55,FALSE,,FALSE,0.25,"43.8201, -79.5050"
6/24/2025 14:00:00,TRUCK-01,43.7752,-79.448,50,FALSE,,FALSE,0.36,"43.7752, -79.4480"
6/24/2025 14:05:00,TRUCK-02,43.825,-79.5085,65,FALSE,,FALSE,0.22,"43.8250, -79.5085"
6/24/2025 14:10:00,TRUCK-01,43.78,-79.4505,30,FALSE,,FALSE,0.29,"43.7800, -79.4505"
6/24/2025 14:15:00,TRUCK-02,43.8301,-79.512,30,FALSE,,FALSE,0.42,"43.8301, -79.5120"
